gene,expression
MTRF1L,7.826480127620772
MYO1H,1.982947493163176
MYO1G,7.065966271649952
MYO1F,8.302555879671827
MYO1E,9.86826927985413
MYO1D,11.205604010938917
MYO1C,12.239090701914312
MYO1B,10.904762260711031
MYO1A,1.170421057429352
GRN,12.825480765724707
LCN6,0.817746034639926
LOC100128640,4.779637010027346
RPL36AL,11.39697839562444
RAET1G,2.644936371923427
KIAA0391,9.406606289881502
CHMP7,9.960301002734736
CHMP6,8.77980401093893
BCR,10.60532525068369
OR52N4,0.930325706472197
OR52N5,0.1333173199635369
OR52N2,0.344310847766636
CTPS2,9.858923245214216
NDC80,7.855545031905198
OR52N1,0.09989443938012763
SULT6B1,0.010395989061075661
LY6G6C,3.4025384685505884
HOXA13,1.6628792160437567
LY6G6E,0.0801819507748405
HOXA11,3.6805366453965362
HOXA10,6.259573199635362
KRTAP19-2,0.0007022789425706472
KRTAP19-3,0.010725341841385598
PPIAL4C,5.307443208751149
KRTAP19-1,0.010238103919781222
KRTAP19-6,0.001137739288969918
KRTAP19-7,0.0
KRTAP19-4,0.0
FAM188A,8.723697082953493
FAM160B1,9.376332269826783
KRTAP19-8,0.01062907930720146
FAM160B2,9.848418322698272
RAD54B,7.34105970829535
GALNTL5,0.026711759343664536
GALNTL4,8.096586144029166
TSSK4,3.3277763901549706
GALNTL6,1.7729042844120342
GALNTL1,7.783295806745675
LSM11,7.6177360984503135
ZNF323,7.672255423883325
GALNTL2,6.946195897903379
SNORD114-3,0.0
SF3B1,12.708716043755693
TUSC2,9.22773628076573
SRI,10.586356335460344
SUN1,11.089729261622612
SRL,3.64266909753874
SRM,10.087015496809466
SRR,7.988472379216054
LGALS9,10.048603646308111
LGALS8,10.521216955332724
LGALS3,11.388175660893348
LGALS2,3.72459635369189
LGALS1,12.332715587967195
SRY,0.003776025524156792
LGALS7,2.442344484958979
LGALS4,1.7395423883318173
NMU,2.6507278030993633
RNF114,10.90686198723793
AKIRIN2,9.32668422971741
AKIRIN1,10.17105970829535
EIF2AK1,12.337540929808567
ERCC6L,6.883011668185964
EIF2AK3,9.912503008204204
EIF2AK2,9.091829352780316
TDG,8.947684594348214
EIF2AK4,10.461597721057439
HN1,10.889094439380129
SMS,11.086219416590698
NMB,6.2237484958978975
EREG,2.721218687329081
LOC729467,0.17042370100273477
AVPI1,7.279955332725614
MYO16,3.1920691886964425
FAM136B,0.2894651777575204
TRNT1,8.509656335460347
ASAP1,10.170165086599809
